FID,OBJECTID,CTLabel,BoroCode,BoroName,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Le_1,Shape_Area,Count_
497,498,31,4,Queens,003100,4003100,E,QN68,Queensbridge-Ravenswood-Long Island City,4101,6683.010625480000300,6683.010609300000400,1775765.366500000000000,1
498,499,38,4,Queens,003800,4003800,I,QN53,Woodhaven,4111,7114.920845630000300,7114.920762339999800,1896703.692300000000000,0
499,500,39,4,Queens,003900,4003900,E,QN68,Queensbridge-Ravenswood-Long Island City,4101,7160.549591860000000,7160.549391520000400,1580667.185300000000000,0
500,501,40.01,4,Queens,004001,4004001,E,QN53,Woodhaven,4111,6859.283267949999800,6859.282737440000300,1875952.803349999900000,0
501,502,44.01,4,Queens,004401,4004401,E,QN56,Ozone Park,4113,7938.054609730000300,7938.054679019999600,2832837.601369999800000,0
502,503,50,4,Queens,005000,4005000,I,QN56,Ozone Park,4113,5156.215811480000400,5156.215791429999600,1637725.614150000000000,0
503,504,51,4,Queens,005100,4005100,E,QN68,Queensbridge-Ravenswood-Long Island City,4101,5387.367051969999900,5387.366816800000400,1476104.675959999900000,0
504,505,52,4,Queens,005200,4005200,E,QN53,Woodhaven,4111,5322.702405820000400,5322.702226370000100,1405673.752270000100000,0
505,506,65.02,4,Queens,006502,4006502,E,QN70,Astoria,4101,5907.491016060000200,5907.491379289999700,1650722.282799999900000,0
506,507,73,4,Queens,007300,4007300,I,QN71,Old Astoria,4101,4972.888314109999600,4972.888152880000200,1523722.846200000000000,0
507,508,79,4,Queens,007900,4007900,E,QN71,Old Astoria,4101,5365.901288750000300,5365.901418280000100,1727510.976539999900000,0
508,509,91,4,Queens,009100,4009100,E,QN71,Old Astoria,4101,9267.194098329999200,9267.194884660000800,2005223.104890000100000,0
509,510,94,4,Queens,009400,4009400,E,QN55,South Ozone Park,4113,7131.930991109999900,7131.930840770000000,1869642.071569999900000,0
510,511,97,4,Queens,009700,4009700,I,QN72,Steinway,4101,6276.088149590000300,6276.088079780000000,2172165.458060000100000,0
511,512,101,4,Queens,010100,4010100,I,QN72,Steinway,4101,5978.847817470000300,5978.847682089999600,1859725.480900000100000,0
512,513,102,4,Queens,010200,4010200,E,QN55,South Ozone Park,4113,7032.656097510000100,7032.656280119999800,2302072.598389999900000,0
